idx,params_1,params_2,params_3,params_4,fitness_1,gen
0,7.0,29.0,18.0,3.0,6.5732,0.0
1,5.0,21.0,20.0,26.0,6.6539,0.0
2,5.0,20.0,16.0,38.0,6.5825,0.0
3,4.0,21.0,9.0,19.0,6.5517,0.0
4,3.0,29.0,8.0,40.0,6.4254,0.0
5,5.0,22.0,27.0,39.0,6.4666,0.0
6,3.0,14.0,8.0,47.0,6.7997,0.0
7,2.0,26.0,15.0,31.0,6.506,0.0
8,9.0,8.0,16.0,28.0,7.3732,0.0
9,6.0,24.0,25.0,14.0,6.2675,0.0
10,9.0,20.0,19.0,34.0,6.3564,0.0
11,5.0,6.0,30.0,36.0,6.9702,0.0
12,1.0,7.0,28.0,26.0,7.878,0.0
13,1.0,24.0,20.0,22.0,7.3959,0.0
14,4.0,28.0,15.0,46.0,6.4327,0.0
15,2.0,11.0,23.0,15.0,6.9371,0.0
16,4.0,30.0,9.0,35.0,6.5205,0.0
17,8.0,7.0,7.0,21.0,7.6092,0.0
18,9.0,20.0,8.0,20.0,6.6268,0.0
19,9.0,14.0,27.0,8.0,6.6797,0.0
20,9.0,15.0,22.0,14.0,6.5603,0.0
21,10.0,22.0,23.0,19.0,6.3947,0.0
22,8.0,7.0,24.0,25.0,6.8785,0.0
23,6.0,23.0,12.0,19.0,6.2934,0.0
24,3.0,11.0,10.0,3.0,6.9364,0.0
25,10.0,26.0,13.0,31.0,6.2713,0.0
26,2.0,7.0,26.0,49.0,6.9674,0.0
27,3.0,9.0,6.0,6.0,7.1835,0.0
28,9.0,26.0,17.0,46.0,6.4318,0.0
29,9.0,13.0,21.0,16.0,7.1523,0.0
30,4.0,26.0,23.0,27.0,6.3862,0.0
31,10.0,13.0,19.0,32.0,6.6372,0.0
32,6.0,7.0,15.0,40.0,6.9998,0.0
33,2.0,20.0,23.0,41.0,6.6058,0.0
34,6.0,11.0,12.0,2.0,6.921,0.0
35,5.0,8.0,27.0,15.0,6.784,0.0
36,6.0,30.0,10.0,22.0,6.5627,0.0
37,7.0,6.0,8.0,10.0,7.5198,0.0
38,4.0,6.0,23.0,41.0,7.1374,0.0
39,9.0,24.0,26.0,5.0,6.4912,0.0
40,1.0,8.0,25.0,13.0,8.2092,0.0
41,10.0,23.0,8.0,26.0,6.7663,0.0
42,2.0,16.0,8.0,3.0,7.0137,0.0
43,10.0,5.0,11.0,12.0,7.4512,0.0
44,2.0,20.0,11.0,47.0,6.8263,0.0
45,1.0,26.0,5.0,35.0,8.0284,0.0
46,7.0,24.0,8.0,17.0,7.11,0.0
47,2.0,12.0,7.0,42.0,7.3002,0.0
48,5.0,16.0,18.0,12.0,6.748,0.0
49,1.0,21.0,19.0,3.0,8.5373,0.0
50,10.0,8.0,27.0,26.0,6.9312,0.0
51,4.0,13.0,16.0,47.0,6.6307,0.0
52,8.0,23.0,10.0,45.0,6.5251,0.0
53,4.0,29.0,6.0,44.0,6.5288,0.0
54,3.0,10.0,15.0,34.0,6.8126,0.0
55,5.0,8.0,24.0,29.0,6.8489,0.0
56,3.0,5.0,20.0,44.0,7.1907,0.0
57,7.0,23.0,21.0,20.0,6.312,0.0
