idx,params_1,params_2,params_3,params_4,fitness_1,gen
58,6.0,17.0,26.0,17.0,6.7188,0.0
59,3.0,22.0,27.0,1.0,6.4898,0.0
60,8.0,28.0,7.0,22.0,6.5779,0.0
61,1.0,22.0,13.0,9.0,8.3267,0.0
62,4.0,29.0,20.0,23.0,6.2363,0.0
63,10.0,14.0,26.0,23.0,6.5715,0.0
64,10.0,25.0,24.0,9.0,6.5509,0.0
65,5.0,17.0,28.0,27.0,6.6534,0.0
66,2.0,5.0,24.0,13.0,7.4789,0.0
67,6.0,10.0,12.0,15.0,6.9453,0.0
68,8.0,17.0,27.0,44.0,6.5336,0.0
69,10.0,18.0,6.0,26.0,6.7509,0.0
70,10.0,18.0,29.0,43.0,6.4479,0.0
71,1.0,10.0,19.0,5.0,9.1107,0.0
72,5.0,27.0,10.0,29.0,7.0782,0.0
73,9.0,20.0,22.0,39.0,6.4338,0.0
74,1.0,6.0,20.0,21.0,8.3723,0.0
75,5.0,19.0,6.0,27.0,6.8456,0.0
76,4.0,22.0,25.0,6.0,6.6385,0.0
77,3.0,5.0,17.0,44.0,7.4559,0.0
78,7.0,15.0,5.0,14.0,7.0415,0.0
79,1.0,27.0,29.0,1.0,8.4853,0.0
80,9.0,24.0,8.0,13.0,6.6575,0.0
81,2.0,24.0,25.0,13.0,6.6061,0.0
82,5.0,13.0,27.0,12.0,6.5827,0.0
83,2.0,20.0,17.0,41.0,6.5394,0.0
84,2.0,5.0,13.0,29.0,7.6281,0.0
85,2.0,13.0,9.0,42.0,6.9126,0.0
86,9.0,25.0,25.0,23.0,6.3307,0.0
87,2.0,9.0,13.0,2.0,7.0657,0.0
88,1.0,6.0,11.0,44.0,8.688,0.0
89,5.0,22.0,15.0,24.0,6.9334,0.0
90,10.0,6.0,28.0,45.0,7.1876,0.0
91,10.0,25.0,20.0,46.0,6.388,0.0
92,8.0,25.0,18.0,24.0,6.4767,0.0
93,9.0,10.0,11.0,25.0,7.1589,0.0
94,10.0,14.0,5.0,9.0,7.4436,0.0
95,3.0,13.0,15.0,22.0,6.7611,0.0
96,6.0,27.0,7.0,22.0,6.8734,0.0
97,10.0,6.0,6.0,18.0,7.5263,0.0
98,3.0,9.0,23.0,19.0,6.7589,0.0
99,6.0,17.0,22.0,9.0,6.758,0.0
100,5.0,8.0,20.0,47.0,7.0503,0.0
101,4.0,6.0,14.0,12.0,7.4035,0.0
102,9.0,28.0,7.0,20.0,7.0596,0.0
103,7.0,15.0,14.0,27.0,6.5935,0.0
104,2.0,8.0,22.0,31.0,6.8906,0.0
105,8.0,15.0,30.0,22.0,6.284,0.0
106,2.0,20.0,8.0,45.0,6.6238,0.0
107,8.0,18.0,6.0,20.0,6.6746,0.0
108,6.0,28.0,26.0,10.0,6.3438,0.0
109,3.0,25.0,23.0,25.0,6.2948,0.0
110,2.0,7.0,30.0,6.0,6.8456,0.0
111,4.0,28.0,12.0,4.0,6.6425,0.0
112,7.0,5.0,8.0,26.0,8.4825,0.0
113,9.0,21.0,14.0,29.0,6.283,0.0
114,8.0,30.0,23.0,46.0,6.4116,0.0
115,4.0,18.0,7.0,24.0,6.6869,0.0
116,4.0,13.0,23.0,50.0,6.9995,0.0
117,3.0,18.0,11.0,23.0,6.8262,0.0
118,2.0,7.0,27.0,2.0,7.2172,0.0
119,9.0,19.0,29.0,44.0,6.4213,0.0
120,4.0,8.0,20.0,26.0,6.894,0.0
121,5.0,11.0,25.0,3.0,7.6436,0.0
122,4.0,24.0,9.0,7.0,6.787,0.0
123,4.0,19.0,17.0,24.0,6.4515,0.0
124,9.0,9.0,8.0,39.0,7.4399,0.0
125,8.0,9.0,23.0,26.0,6.7172,0.0
126,7.0,21.0,20.0,44.0,6.3198,0.0
127,6.0,20.0,20.0,41.0,6.6723,0.0
128,4.0,22.0,24.0,15.0,6.5453,0.0
129,1.0,15.0,27.0,48.0,7.4156,0.0
130,6.0,15.0,6.0,34.0,6.7485,0.0
131,3.0,13.0,24.0,10.0,6.7982,0.0
132,7.0,23.0,14.0,46.0,6.552,0.0
133,8.0,7.0,30.0,6.0,6.9034,0.0
134,9.0,6.0,7.0,15.0,7.2376,0.0
135,3.0,6.0,14.0,1.0,7.8984,0.0
136,8.0,15.0,10.0,10.0,6.6475,0.0
137,8.0,16.0,21.0,25.0,6.4463,0.0
138,9.0,21.0,6.0,37.0,6.5198,0.0
139,2.0,26.0,30.0,34.0,6.5661,0.0
140,10.0,7.0,28.0,28.0,6.9414,0.0
141,4.0,14.0,22.0,39.0,6.6802,0.0
142,7.0,20.0,30.0,25.0,6.3503,0.0
143,10.0,23.0,12.0,2.0,6.45,0.0
144,1.0,28.0,10.0,20.0,7.8288,0.0
145,9.0,23.0,13.0,22.0,6.3556,0.0
146,2.0,20.0,13.0,20.0,6.7303,0.0
147,7.0,17.0,30.0,25.0,6.4995,0.0
148,1.0,10.0,25.0,9.0,8.1025,0.0
149,4.0,14.0,28.0,22.0,6.6534,0.0
150,1.0,6.0,20.0,27.0,8.125,0.0
151,3.0,20.0,24.0,46.0,6.4585,0.0
152,2.0,26.0,27.0,10.0,6.4856,0.0
153,6.0,18.0,6.0,40.0,6.8015,0.0
154,8.0,17.0,19.0,4.0,6.7725,0.0
155,2.0,20.0,29.0,10.0,6.6026,0.0
156,1.0,6.0,24.0,40.0,7.8554,0.0
157,3.0,25.0,15.0,7.0,6.5779,0.0
158,9.0,25.0,16.0,13.0,6.3922,0.0
159,7.0,30.0,29.0,50.0,6.6577,0.0
160,8.0,8.0,6.0,40.0,7.8198,0.0
161,8.0,24.0,25.0,22.0,6.5827,0.0
162,2.0,26.0,27.0,40.0,6.6095,0.0
163,5.0,30.0,9.0,25.0,6.4762,0.0
164,5.0,28.0,26.0,8.0,6.4596,0.0
165,9.0,30.0,11.0,3.0,6.5436,0.0
166,7.0,19.0,16.0,49.0,6.6946,0.0
167,4.0,19.0,16.0,41.0,6.6017,0.0
168,2.0,6.0,6.0,32.0,7.7197,0.0
169,5.0,5.0,21.0,43.0,7.2097,0.0
170,10.0,23.0,11.0,15.0,6.4694,0.0
171,2.0,29.0,25.0,50.0,6.5437,0.0
172,9.0,27.0,21.0,27.0,6.2924,0.0
173,9.0,14.0,8.0,10.0,6.8423,0.0
174,7.0,23.0,18.0,6.0,6.3821,0.0
175,2.0,18.0,7.0,7.0,6.9315,0.0
176,7.0,29.0,9.0,47.0,6.6049,0.0
177,1.0,30.0,19.0,28.0,7.2735,0.0
178,7.0,5.0,20.0,21.0,7.0939,0.0
179,5.0,7.0,16.0,5.0,7.1325,0.0
180,2.0,16.0,27.0,2.0,6.7678,0.0
181,6.0,16.0,10.0,1.0,6.8504,0.0
182,4.0,16.0,7.0,39.0,6.7931,0.0
183,3.0,11.0,5.0,14.0,7.2742,0.0
184,2.0,28.0,5.0,19.0,6.7752,0.0
185,6.0,27.0,5.0,39.0,7.1026,0.0
186,4.0,9.0,10.0,30.0,6.9058,0.0
187,2.0,20.0,16.0,46.0,6.5364,0.0
188,5.0,9.0,5.0,14.0,7.9322,0.0
189,6.0,15.0,20.0,19.0,6.6917,0.0
190,5.0,22.0,25.0,21.0,6.4038,0.0
191,3.0,23.0,7.0,7.0,6.7448,0.0
192,9.0,23.0,14.0,11.0,6.5636,0.0
193,7.0,9.0,9.0,15.0,7.3417,0.0
194,6.0,21.0,12.0,16.0,6.4018,0.0
195,3.0,14.0,16.0,27.0,6.7189,0.0
196,1.0,9.0,24.0,2.0,9.9452,0.0
197,7.0,7.0,27.0,5.0,6.9207,0.0
198,3.0,18.0,14.0,36.0,6.7539,0.0
199,7.0,28.0,9.0,38.0,6.5258,0.0
