idx,params_1,params_2,params_3,params_4,fitness_1,gen
0,7.0,29.0,18.0,3.0,6.3,0.0
1,5.0,21.0,20.0,26.0,6.4702,0.0
2,5.0,20.0,16.0,38.0,6.6003,0.0
3,4.0,21.0,9.0,19.0,6.6058,0.0
4,3.0,29.0,8.0,40.0,6.4899,0.0
5,5.0,22.0,27.0,39.0,6.2383,0.0
6,3.0,14.0,8.0,47.0,7.2248,0.0
7,2.0,26.0,15.0,31.0,6.583,0.0
8,9.0,8.0,16.0,28.0,7.6187,0.0
9,6.0,24.0,25.0,14.0,6.338,0.0
10,9.0,20.0,19.0,34.0,6.3596,0.0
11,5.0,6.0,30.0,36.0,7.3962,0.0
12,1.0,7.0,28.0,26.0,9.1501,0.0
13,1.0,24.0,20.0,22.0,8.2582,0.0
14,4.0,28.0,15.0,46.0,6.4642,0.0
15,2.0,11.0,23.0,15.0,6.8708,0.0
16,4.0,30.0,9.0,35.0,6.5657,0.0
17,8.0,7.0,7.0,21.0,8.2017,0.0
18,9.0,20.0,8.0,20.0,6.6095,0.0
19,9.0,14.0,27.0,8.0,6.4962,0.0
20,9.0,15.0,22.0,14.0,6.3867,0.0
21,10.0,22.0,23.0,19.0,6.4416,0.0
22,8.0,7.0,24.0,25.0,6.9776,0.0
23,6.0,23.0,12.0,19.0,6.3763,0.0
24,3.0,11.0,10.0,3.0,7.345,0.0
25,10.0,26.0,13.0,31.0,6.3003,0.0
26,2.0,7.0,26.0,49.0,7.2234,0.0
27,3.0,9.0,6.0,6.0,7.9187,0.0
28,9.0,26.0,17.0,46.0,6.3537,0.0
29,9.0,13.0,21.0,16.0,6.7433,0.0
30,4.0,26.0,23.0,27.0,6.4872,0.0
31,10.0,13.0,19.0,32.0,6.8422,0.0
32,6.0,7.0,15.0,40.0,7.3241,0.0
33,2.0,20.0,23.0,41.0,6.5634,0.0
34,6.0,11.0,12.0,2.0,7.1102,0.0
35,5.0,8.0,27.0,15.0,6.85,0.0
36,6.0,30.0,10.0,22.0,6.4385,0.0
37,7.0,6.0,8.0,10.0,8.019,0.0
38,4.0,6.0,23.0,41.0,7.4224,0.0
39,9.0,24.0,26.0,5.0,6.4128,0.0
40,1.0,8.0,25.0,13.0,9.9266,0.0
41,10.0,23.0,8.0,26.0,6.6191,0.0
42,2.0,16.0,8.0,3.0,7.732,0.0
43,10.0,5.0,11.0,12.0,7.8837,0.0
44,2.0,20.0,11.0,47.0,6.815,0.0
45,1.0,26.0,5.0,35.0,9.5328,0.0
46,7.0,24.0,8.0,17.0,6.5926,0.0
47,2.0,12.0,7.0,42.0,7.4799,0.0
48,5.0,16.0,18.0,12.0,6.6241,0.0
49,1.0,21.0,19.0,3.0,10.2419,0.0
