idx,params_1,params_2,params_3,params_4,fitness_1,gen,train_params,archt_scores
0,7.0,29.0,18.0,3.0,6.5732,0.0,145032,5128.791211363512
1,5.0,21.0,20.0,26.0,6.6539,0.0,317306,4272.738766407959
2,5.0,20.0,16.0,38.0,6.5825,0.0,412861,4242.567368487443
3,4.0,21.0,9.0,19.0,6.5517,0.0,215652,3477.3358588709407
4,3.0,29.0,8.0,40.0,6.4254,0.0,598984,3635.3616305690266
5,5.0,22.0,27.0,39.0,6.4666,0.0,494043,4321.956260779175
6,3.0,14.0,8.0,47.0,6.7997,0.0,335359,2723.79839430844
7,2.0,26.0,15.0,31.0,6.506,0.0,421613,0.0
8,9.0,8.0,16.0,28.0,7.3732,0.0,123385,3857.2353180284813
9,6.0,24.0,25.0,14.0,6.2675,0.0,252425,4839.806933471181
10,9.0,20.0,19.0,34.0,6.3564,0.0,409261,4534.905622453086
11,5.0,6.0,30.0,36.0,6.9702,0.0,116671,2794.155055182326
12,1.0,7.0,28.0,26.0,7.878,0.0,95448,0.0
13,1.0,24.0,20.0,22.0,7.3959,0.0,274065,-174.70369008277922
14,4.0,28.0,15.0,46.0,6.4327,0.0,688713,4394.5474620925215
15,2.0,11.0,23.0,15.0,6.9371,0.0,90666,0.0
16,4.0,30.0,9.0,35.0,6.5205,0.0,555521,3639.838682244909
17,8.0,7.0,7.0,21.0,7.6092,0.0,77358,0.0
18,9.0,20.0,8.0,20.0,6.6268,0.0,229381,4034.9744738244904
19,9.0,14.0,27.0,8.0,6.6797,0.0,106183,4714.240148757669
20,9.0,15.0,22.0,14.0,6.5603,0.0,151616,5277.145744483902
21,10.0,22.0,23.0,19.0,6.3947,0.0,319909,4969.569673763791
22,8.0,7.0,24.0,25.0,6.8785,0.0,99649,4061.225404571135
23,6.0,23.0,12.0,19.0,6.2934,0.0,256279,4448.200746684706
24,3.0,11.0,10.0,3.0,6.9364,0.0,21214,0.0
25,10.0,26.0,13.0,31.0,6.2713,0.0,489733,5204.41109696308
26,2.0,7.0,26.0,49.0,6.9674,0.0,177409,0.0
27,3.0,9.0,6.0,6.0,7.1835,0.0,29200,0.0
28,9.0,26.0,17.0,46.0,6.4318,0.0,699931,4911.144306260215
29,9.0,13.0,21.0,16.0,7.1523,0.0,138290,4524.167817809472
30,4.0,26.0,23.0,27.0,6.3862,0.0,410249,4542.884184682924
31,10.0,13.0,19.0,32.0,6.6372,0.0,242610,4859.053921757776
32,6.0,7.0,15.0,40.0,6.9998,0.0,146618,1994.955789737252
33,2.0,20.0,23.0,41.0,6.6058,0.0,429261,2824.094236203136
34,6.0,11.0,12.0,2.0,6.921,0.0,21007,3065.0830799999726
35,5.0,8.0,27.0,15.0,6.784,0.0,71573,2902.932606731876
36,6.0,30.0,10.0,22.0,6.5627,0.0,381621,4880.04516859811
37,7.0,6.0,8.0,10.0,7.5198,0.0,32931,0.0
38,4.0,6.0,23.0,41.0,7.1374,0.0,129089,0.0
39,9.0,24.0,26.0,5.0,6.4912,0.0,192605,5488.210085613285
40,1.0,8.0,25.0,13.0,8.2092,0.0,56269,0.0
41,10.0,23.0,8.0,26.0,6.7663,0.0,341519,5436.915573266306
42,2.0,16.0,8.0,3.0,7.0137,0.0,28701,0.0
43,10.0,5.0,11.0,12.0,7.4512,0.0,33866,3796.965799559343
44,2.0,20.0,11.0,47.0,6.8263,0.0,479781,0.0
45,1.0,26.0,5.0,35.0,8.0284,0.0,458327,0.0
46,7.0,24.0,8.0,17.0,7.11,0.0,235997,4525.198087651907
47,2.0,12.0,7.0,42.0,7.3002,0.0,255553,0.0
48,5.0,16.0,18.0,12.0,6.748,0.0,120513,3300.3821722539465
49,1.0,21.0,19.0,3.0,8.5373,0.0,39562,0.0
50,10.0,8.0,27.0,26.0,6.9312,0.0,124473,3962.606287013803
51,4.0,13.0,16.0,47.0,6.6307,0.0,318765,2881.42207109799
52,8.0,23.0,10.0,45.0,6.5251,0.0,560215,5310.932954487766
53,4.0,29.0,6.0,44.0,6.5288,0.0,657615,3895.620517102962
54,3.0,10.0,15.0,34.0,6.8126,0.0,176711,0.0
55,5.0,8.0,24.0,29.0,6.8489,0.0,126605,3258.8381269521456
56,3.0,5.0,20.0,44.0,7.1907,0.0,113896,-7942.106954521259
57,7.0,23.0,21.0,20.0,6.312,0.0,306876,5072.427076658768
58,6.0,17.0,26.0,17.0,6.7188,0.0,191353,4329.411291834022
59,3.0,22.0,27.0,1.0,6.4898,0.0,49103,4064.257820166064
60,8.0,28.0,7.0,22.0,6.5779,0.0,351001,4995.814763074838
61,1.0,22.0,13.0,9.0,8.3267,0.0,104923,0.0
62,4.0,29.0,20.0,23.0,6.2363,0.0,396137,4221.545150642125
63,10.0,14.0,26.0,23.0,6.5715,0.0,214745,4320.7366795927155
64,10.0,25.0,24.0,9.0,6.5509,0.0,259931,5411.151689279961
65,5.0,17.0,28.0,27.0,6.6534,0.0,272014,4367.7973747303695
66,2.0,5.0,24.0,13.0,7.4789,0.0,35771,0.0
