idx,params_1,params_2,params_3,params_4,params_5,fitness_1,gen
0,9.0,49.0,27.0,3.0,3.0,6.6194,1.0
1,10.0,32.0,26.0,36.0,4.0,6.3252,1.0
2,5.0,9.0,49.0,7.0,5.0,7.8003,1.0
3,5.0,9.0,49.0,7.0,5.0,7.8003,1.0
4,5.0,35.0,46.0,39.0,2.0,22.3746,1.0
