idx,params_1,params_2,params_3,params_4,fitness_1,gen,train_params,archt_scores
0,7.0,29.0,18.0,3.0,6.3,0.0,145032,5243.0663199160845
1,5.0,21.0,20.0,26.0,6.4702,0.0,317306,4055.8428674299457
2,5.0,20.0,16.0,38.0,6.6003,0.0,412861,4253.060530264045
3,4.0,21.0,9.0,19.0,6.6058,0.0,215652,0
4,3.0,29.0,8.0,40.0,6.4899,0.0,598984,3446.708649008583
5,5.0,22.0,27.0,39.0,6.2383,0.0,494043,4619.83442639528
6,3.0,14.0,8.0,47.0,7.2248,0.0,335359,0
7,2.0,26.0,15.0,31.0,6.583,0.0,421613,2948.852449809944
8,9.0,8.0,16.0,28.0,7.6187,0.0,123385,4675.303516890977
9,6.0,24.0,25.0,14.0,6.338,0.0,252425,4147.373160805633
10,9.0,20.0,19.0,34.0,6.3596,0.0,409261,5314.584220387053
11,5.0,6.0,30.0,36.0,7.3962,0.0,116671,3670.586994837994
12,1.0,7.0,28.0,26.0,9.1501,0.0,95448,0
13,1.0,24.0,20.0,22.0,8.2582,0.0,274065,0
14,4.0,28.0,15.0,46.0,6.4642,0.0,688713,4718.671756138314
15,2.0,11.0,23.0,15.0,6.8708,0.0,90666,-2418.2635916481718
16,4.0,30.0,9.0,35.0,6.5657,0.0,555521,4054.08285124108
17,8.0,7.0,7.0,21.0,8.2017,0.0,77358,0
18,9.0,20.0,8.0,20.0,6.6095,0.0,229381,5280.462424688287
19,9.0,14.0,27.0,8.0,6.4962,0.0,106183,4857.64232897404
20,9.0,15.0,22.0,14.0,6.3867,0.0,151616,4730.890499131321
21,10.0,22.0,23.0,19.0,6.4416,0.0,319909,5843.358590794673
22,8.0,7.0,24.0,25.0,6.9776,0.0,99649,0
23,6.0,23.0,12.0,19.0,6.3763,0.0,256279,3799.880953547065
24,3.0,11.0,10.0,3.0,7.345,0.0,21214,0
25,10.0,26.0,13.0,31.0,6.3003,0.0,489733,5773.944054334182
26,2.0,7.0,26.0,49.0,7.2234,0.0,177409,0
27,3.0,9.0,6.0,6.0,7.9187,0.0,29200,0
28,9.0,26.0,17.0,46.0,6.3537,0.0,699931,5755.47103119454
29,9.0,13.0,21.0,16.0,6.7433,0.0,138290,4972.364679753932
30,4.0,26.0,23.0,27.0,6.4872,0.0,410249,4279.433692655558
31,10.0,13.0,19.0,32.0,6.8422,0.0,242610,5507.746982011202
32,6.0,7.0,15.0,40.0,7.3241,0.0,146618,2560.251718230783
33,2.0,20.0,23.0,41.0,6.5634,0.0,429261,0
34,6.0,11.0,12.0,2.0,7.1102,0.0,21007,2986.6004501637144
35,5.0,8.0,27.0,15.0,6.85,0.0,71573,3757.308182253443
36,6.0,30.0,10.0,22.0,6.4385,0.0,381621,4708.045895055411
