idx,params_1,params_2,params_3,params_4,fitness_1,gen,train_params,archt_scores
0,7.0,29.0,18.0,3.0,6.3,0.0,145032,1465.1539207190508
1,5.0,21.0,20.0,26.0,6.4702,0.0,317306,1216.4352214830687
2,5.0,20.0,16.0,38.0,6.6003,0.0,412861,1263.7064667282589
3,4.0,21.0,9.0,19.0,6.6058,0.0,215652,1116.2116101822453
4,3.0,29.0,8.0,40.0,6.4899,0.0,598984,1149.1049695004335
5,5.0,22.0,27.0,39.0,6.2383,0.0,494043,1320.3815181173404
6,3.0,14.0,8.0,47.0,7.2248,0.0,335359,870.4986498766114
7,2.0,26.0,15.0,31.0,6.583,0.0,421613,1039.2432704712378
8,9.0,8.0,16.0,28.0,7.6187,0.0,123385,1334.8490032545128
9,6.0,24.0,25.0,14.0,6.338,0.0,252425,1231.7865251285598
10,9.0,20.0,19.0,34.0,6.3596,0.0,409261,1487.1878398298513
11,5.0,6.0,30.0,36.0,7.3962,0.0,116671,1152.526827863274
12,1.0,7.0,28.0,26.0,9.1501,0.0,95448,0
13,1.0,24.0,20.0,22.0,8.2582,0.0,274065,577.012910196926
14,4.0,28.0,15.0,46.0,6.4642,0.0,688713,1360.6171739607153
15,2.0,11.0,23.0,15.0,6.8708,0.0,90666,796.2415730403966
16,4.0,30.0,9.0,35.0,6.5657,0.0,555521,1249.5339384556228
17,8.0,7.0,7.0,21.0,8.2017,0.0,77358,832.1191235606285
18,9.0,20.0,8.0,20.0,6.6095,0.0,229381,1481.0970512073452
19,9.0,14.0,27.0,8.0,6.4962,0.0,106183,1376.7459768790477
20,9.0,15.0,22.0,14.0,6.3867,0.0,151616,1350.5291638162134
21,10.0,22.0,23.0,19.0,6.4416,0.0,319909,1596.341094773978
22,8.0,7.0,24.0,25.0,6.9776,0.0,99649,873.1029547744452
23,6.0,23.0,12.0,19.0,6.3763,0.0,256279,1190.3075582591055
24,3.0,11.0,10.0,3.0,7.345,0.0,21214,0
25,10.0,26.0,13.0,31.0,6.3003,0.0,489733,1579.8403302185288
26,2.0,7.0,26.0,49.0,7.2234,0.0,177409,844.5725695431111
27,3.0,9.0,6.0,6.0,7.9187,0.0,29200,0
28,9.0,26.0,17.0,46.0,6.3537,0.0,699931,1577.358090451306
29,9.0,13.0,21.0,16.0,6.7433,0.0,138290,1409.6677457458868
30,4.0,26.0,23.0,27.0,6.4872,0.0,410249,1254.6000647441329
31,10.0,13.0,19.0,32.0,6.8422,0.0,242610,1532.25232111849
32,6.0,7.0,15.0,40.0,7.3241,0.0,146618,985.5655140069912
33,2.0,20.0,23.0,41.0,6.5634,0.0,429261,937.7177464009706
34,6.0,11.0,12.0,2.0,7.1102,0.0,21007,1049.9536182592963
35,5.0,8.0,27.0,15.0,6.85,0.0,71573,1177.002433243064
36,6.0,30.0,10.0,22.0,6.4385,0.0,381621,1366.9705757555016
37,7.0,6.0,8.0,10.0,8.019,0.0,32931,636.1051040744422
38,4.0,6.0,23.0,41.0,7.4224,0.0,129089,996.5903334123843
39,9.0,24.0,26.0,5.0,6.4128,0.0,192605,1255.8197453060457
40,1.0,8.0,25.0,13.0,9.9266,0.0,56269,0
41,10.0,23.0,8.0,26.0,6.6191,0.0,341519,1342.713152775097
42,2.0,16.0,8.0,3.0,7.732,0.0,28701,0
43,10.0,5.0,11.0,12.0,7.8837,0.0,33866,1050.2544854479615
44,2.0,20.0,11.0,47.0,6.815,0.0,479781,888.0585828032403
45,1.0,26.0,5.0,35.0,9.5328,0.0,458327,767.5209588332965
46,7.0,24.0,8.0,17.0,6.5926,0.0,235997,1322.243151330445
47,2.0,12.0,7.0,42.0,7.4799,0.0,255553,718.6445186977807
48,5.0,16.0,18.0,12.0,6.6241,0.0,120513,1088.057990581201
49,1.0,21.0,19.0,3.0,10.2419,0.0,39562,386.3927994108044
50,10.0,8.0,27.0,26.0,6.7074,0.0,124473,1499.6978143440801
51,4.0,13.0,16.0,47.0,6.7397,0.0,318765,1143.5632758457532
52,8.0,23.0,10.0,45.0,6.5371,0.0,560215,1297.6887957615104
53,4.0,29.0,6.0,44.0,6.6067,0.0,657615,1243.3394361229364
54,3.0,10.0,15.0,34.0,6.9276,0.0,176711,702.6065655977485
55,5.0,8.0,24.0,29.0,6.8348,0.0,126605,1122.173524212818
56,3.0,5.0,20.0,44.0,7.4638,0.0,113896,0
57,7.0,23.0,21.0,20.0,6.3994,0.0,306876,1309.8499836080873
58,6.0,17.0,26.0,17.0,6.5465,0.0,191353,1291.2578504134021
59,3.0,22.0,27.0,1.0,6.4268,0.0,49103,1119.4995436528377
60,8.0,28.0,7.0,22.0,6.6622,0.0,351001,1530.9979533700912
61,1.0,22.0,13.0,9.0,10.0126,0.0,104923,0
62,4.0,29.0,20.0,23.0,6.3555,0.0,396137,1308.4498529176933
63,10.0,14.0,26.0,23.0,6.6577,0.0,214745,1439.0716179982514
64,10.0,25.0,24.0,9.0,6.4651,0.0,259931,1582.8844886662503
65,5.0,17.0,28.0,27.0,6.5865,0.0,272014,1238.426662901028
66,2.0,5.0,24.0,13.0,7.8614,0.0,35771,0
67,6.0,10.0,12.0,15.0,6.9689,0.0,83761,930.9771162675233
68,8.0,17.0,27.0,44.0,6.5603,0.0,438818,1385.612952467143
69,10.0,18.0,6.0,26.0,7.0279,0.0,254357,1594.1067213192482
70,10.0,18.0,29.0,43.0,6.5336,0.0,483045,1643.3007252249809
71,1.0,10.0,19.0,5.0,12.2147,0.0,28911,0
72,5.0,27.0,10.0,29.0,6.6984,0.0,426776,1254.7974303590263
73,9.0,20.0,22.0,39.0,6.4848,0.0,470161,1471.9622551999155
74,1.0,6.0,20.0,21.0,10.2505,0.0,65827,129.71353370340577
75,5.0,19.0,6.0,27.0,6.7653,0.0,268080,981.3023554624053
76,4.0,22.0,25.0,6.0,6.4779,0.0,113509,1216.5500752834398
77,3.0,5.0,17.0,44.0,8.0344,0.0,113446,799.8808882979084
78,7.0,15.0,5.0,14.0,7.5448,0.0,113636,792.1596378398831
79,1.0,27.0,29.0,1.0,10.7515,0.0,29208,775.7497554049335
80,9.0,24.0,8.0,13.0,6.7677,0.0,197181,1383.9663872783567
81,2.0,24.0,25.0,13.0,6.5991,0.0,182709,1002.6779349377967
82,5.0,13.0,27.0,12.0,6.6359,0.0,103578,1179.4866230564387
83,2.0,20.0,17.0,41.0,6.6465,0.0,424461,771.728568916435
84,2.0,5.0,13.0,29.0,7.9496,0.0,74716,0
85,2.0,13.0,9.0,42.0,7.4789,0.0,277728,707.0240826758846
86,9.0,25.0,25.0,23.0,6.3926,0.0,425686,1563.8263412142228
87,2.0,9.0,13.0,2.0,7.7516,0.0,12452,230.1592246464021
88,1.0,6.0,11.0,44.0,10.5025,0.0,134207,194.15754311110777
89,5.0,22.0,15.0,24.0,6.6002,0.0,300231,1352.2069412295969
90,10.0,6.0,28.0,45.0,7.4489,0.0,148393,1402.1225935011203
91,10.0,25.0,20.0,46.0,6.3585,0.0,698671,1603.3132499432418
92,8.0,25.0,18.0,24.0,6.3231,0.0,388431,1499.6771292325275
93,9.0,10.0,11.0,25.0,7.308,0.0,136591,1143.5696669414892
94,10.0,14.0,5.0,9.0,7.8213,0.0,73541,1080.4465014937778
95,3.0,13.0,15.0,22.0,6.7229,0.0,152450,905.3963093084934
96,6.0,27.0,7.0,22.0,6.8742,0.0,326898,1377.8105092683477
97,10.0,6.0,6.0,18.0,7.8278,0.0,57085,1053.9548079602635
98,3.0,9.0,23.0,19.0,6.9786,0.0,93774,908.2824946863941
99,6.0,17.0,22.0,9.0,6.6981,0.0,116053,1237.255314804907
