idx,params_1,params_2,params_3,params_4,fitness_1,gen,train_params,archt_scores
83,2.0,20.0,17.0,41.0,6.5206,0.0,424461,522.1413533298853
84,2.0,5.0,13.0,29.0,7.962,0.0,74716,403.9327310737849
85,2.0,13.0,9.0,42.0,6.988,0.0,277728,494.0735211298814
86,9.0,25.0,25.0,23.0,6.1969,0.0,425686,797.7351336675348
87,2.0,9.0,13.0,2.0,7.3677,0.0,12452,288.74514509316464
88,1.0,6.0,11.0,44.0,8.6699,0.0,134207,0.0
89,5.0,22.0,15.0,24.0,6.5238,0.0,300231,674.7650989811286
90,10.0,6.0,28.0,45.0,7.0836,0.0,148393,711.6888281703842
91,10.0,25.0,20.0,46.0,6.6623,0.0,698671,823.9019029744201
92,8.0,25.0,18.0,24.0,8.1685,0.0,388431,775.8167275501635
93,9.0,10.0,11.0,25.0,6.7552,0.0,136591,700.9137586355001
94,10.0,14.0,5.0,9.0,6.9481,0.0,73541,643.6286175205421
95,3.0,13.0,15.0,22.0,6.9166,0.0,152450,444.44229823998705
96,6.0,27.0,7.0,22.0,6.6691,0.0,326898,735.7234083936486
97,10.0,6.0,6.0,18.0,8.8389,0.0,57085,0.0
98,3.0,9.0,23.0,19.0,6.8896,0.0,93774,379.83839250633184
99,6.0,17.0,22.0,9.0,6.5795,0.0,116053,677.5912670609729
