idx,params_1,params_2,params_3,params_4,fitness_1,gen,train_params,archt_scores
0,7.0,29.0,18.0,3.0,6.5732,0.0,145032,1446.0217615552328
1,5.0,21.0,20.0,26.0,6.6539,0.0,317306,1259.6428206722226
2,5.0,20.0,16.0,38.0,6.5825,0.0,412861,1254.9564581037316
3,4.0,21.0,9.0,19.0,6.5517,0.0,215652,1128.3692998776442
4,3.0,29.0,8.0,40.0,6.4254,0.0,598984,1109.8571137859278
5,5.0,22.0,27.0,39.0,6.4666,0.0,494043,1262.918255457163
6,3.0,14.0,8.0,47.0,6.7997,0.0,335359,961.4977797212865
7,2.0,26.0,15.0,31.0,6.506,0.0,421613,798.891585116524
8,9.0,8.0,16.0,28.0,7.3732,0.0,123385,1186.249004231281
9,6.0,24.0,25.0,14.0,6.2675,0.0,252425,1366.63781210905
10,9.0,20.0,19.0,34.0,6.3564,0.0,409261,1314.8179049814412
11,5.0,6.0,30.0,36.0,6.9702,0.0,116671,1025.9721929944571
12,1.0,7.0,28.0,26.0,7.878,0.0,95448,0.0
13,1.0,24.0,20.0,22.0,7.3959,0.0,274065,845.9581543378405
14,4.0,28.0,15.0,46.0,6.4327,0.0,688713,1288.8104818408153
15,2.0,11.0,23.0,15.0,6.9371,0.0,90666,610.6292944372024
16,4.0,30.0,9.0,35.0,6.5205,0.0,555521,1173.543937277137
17,8.0,7.0,7.0,21.0,7.6092,0.0,77358,0.0
18,9.0,20.0,8.0,20.0,6.6268,0.0,229381,1235.3291707342196
19,9.0,14.0,27.0,8.0,6.6797,0.0,106183,1352.8434370486748
20,9.0,15.0,22.0,14.0,6.5603,0.0,151616,1476.592025289031
21,10.0,22.0,23.0,19.0,6.3947,0.0,319909,1399.2167341728266
22,8.0,7.0,24.0,25.0,6.8785,0.0,99649,1220.8576829714498
23,6.0,23.0,12.0,19.0,6.2934,0.0,256279,1307.7389165644445
24,3.0,11.0,10.0,3.0,6.9364,0.0,21214,456.43763137616867
25,10.0,26.0,13.0,31.0,6.2713,0.0,489733,1473.4274747441518
26,2.0,7.0,26.0,49.0,6.9674,0.0,177409,611.6200573304727
27,3.0,9.0,6.0,6.0,7.1835,0.0,29200,0.0
28,9.0,26.0,17.0,46.0,6.4318,0.0,699931,1396.9800612289553
29,9.0,13.0,21.0,16.0,7.1523,0.0,138290,1307.1542448077707
30,4.0,26.0,23.0,27.0,6.3862,0.0,410249,1323.2520684227238
31,10.0,13.0,19.0,32.0,6.6372,0.0,242610,1372.3560579974608
32,6.0,7.0,15.0,40.0,6.9998,0.0,146618,935.2683190270828
33,2.0,20.0,23.0,41.0,6.6058,0.0,429261,1020.2009992078195
34,6.0,11.0,12.0,2.0,6.921,0.0,21007,1044.5397826988174
35,5.0,8.0,27.0,15.0,6.784,0.0,71573,1008.0986993691165
36,6.0,30.0,10.0,22.0,6.5627,0.0,381621,1416.0834746144667
37,7.0,6.0,8.0,10.0,7.5198,0.0,32931,0.0
38,4.0,6.0,23.0,41.0,7.1374,0.0,129089,949.4838436937839
39,9.0,24.0,26.0,5.0,6.4912,0.0,192605,1517.9583652279039
40,1.0,8.0,25.0,13.0,8.2092,0.0,56269,0.0
41,10.0,23.0,8.0,26.0,6.7663,0.0,341519,1517.8808046125725
42,2.0,16.0,8.0,3.0,7.0137,0.0,28701,488.78126247993737
43,10.0,5.0,11.0,12.0,7.4512,0.0,33866,1189.1140459956714
44,2.0,20.0,11.0,47.0,6.8263,0.0,479781,982.6387123848401
45,1.0,26.0,5.0,35.0,8.0284,0.0,458327,577.2665448331159
46,7.0,24.0,8.0,17.0,7.11,0.0,235997,1343.3666549662441
